engagement_id,milestone,milestone_date,candidate_count,notes
E0001,Kickoff,2024-04-09,13,
E0001,Longlist,2024-05-10,10,
E0001,Shortlist,2024-06-06,7,
E0001,Offer,2024-06-24,5,
E0001,Accepted,2024-07-18,6,
E0002,Kickoff,2025-11-25,10,
E0002,Longlist,2025-12-17,5,
E0002,Shortlist,2026-01-08,12,
E0003,Kickoff,2024-12-15,10,
E0003,Longlist,2025-01-02,11,manual review
E0003,Shortlist,2025-01-20,6,
E0003,Offer,2025-02-15,5,
E0003,Accepted,2025-03-04,0,
E0004,Kickoff,2024-08-28,14,
E0004,Longlist,2024-09-24,8,
E0004,Shortlist,2024-10-04,7,
E0004,Offer,2024-10-26,7,
E0004,Accepted,2024-11-15,4,manual review
E0005,Kickoff,2024-11-24,8,
E0005,Longlist,2025-01-04,10,
E0005,Shortlist,2025-01-29,6,
E0005,Offer,2025-02-20,1,
E0005,Accepted,2025-03-12,1,
E0006,Kickoff,2024-07-05,13,
E0006,Longlist,2024-08-16,7,
E0006,Shortlist,2024-08-30,6,
E0006,Offer,2024-09-18,6,manual review
E0007,Kickoff,2025-10-03,10,
E0007,Longlist,2025-10-31,11,
E0007,Shortlist,2025-11-13,4,
E0007,Offer,2025-11-24,5,manual review
E0008,Kickoff,2026-01-01,9,
E0008,Longlist,2026-01-17,8,
E0008,Shortlist,2026-02-17,6,
E0008,Offer,2026-02-28,4,
E0009,Kickoff,2024-03-07,7,
E0009,Longlist,2024-04-17,11,manual review
E0010,Kickoff,2025-06-11,13,
E0010,Longlist,2025-06-26,6,
E0010,Shortlist,2025-07-16,7,
E0010,Offer,2025-07-29,6,
E0010,Accepted,2025-08-11,0,
E0011,Kickoff,2024-09-06,9,
E0011,Longlist,2024-09-28,12,manual review
E0011,Shortlist,2024-10-11,7,manual review
E0011,Offer,2024-11-05,3,manual review
E0011,Accepted,2024-11-13,3,
E0012,Kickoff,2024-02-08,9,manual review
E0012,Longlist,2024-03-13,7,manual review
E0012,Shortlist,2024-04-05,6,
E0012,Offer,2024-04-20,0,
E0012,Accepted,2024-05-04,1,
E0013,Kickoff,2025-11-04,16,
E0013,Longlist,2025-11-23,12,
E0013,Shortlist,2025-12-19,8,
E0013,Offer,2025-12-28,7,
E0013,Accepted,2026-01-19,1,
E0014,Kickoff,2024-02-21,14,manual review
E0014,Longlist,2024-03-07,8,
E0014,Shortlist,2024-04-10,12,
E0014,Offer,2024-04-18,6,
E0014,Accepted,2024-04-26,3,manual review
E0015,Kickoff,2024-06-08,17,
E0015,Longlist,2024-07-03,7,
E0015,Shortlist,2024-07-20,11,
E0015,Offer,2024-07-28,5,manual review
E0015,Accepted,2024-07-31,1,
E0016,Kickoff,2024-01-28,11,
E0016,Longlist,2024-03-07,9,
E0016,Shortlist,2024-03-17,11,
E0016,Offer,2024-04-12,7,
E0016,Accepted,2024-04-17,1,
E0017,Kickoff,2024-12-14,11,
E0017,Longlist,2025-01-25,8,
E0017,Shortlist,2025-02-10,8,
E0017,Offer,2025-03-09,5,
E0017,Accepted,2025-03-20,1,
E0018,Kickoff,2025-03-18,11,
E0018,Longlist,2025-04-28,10,
E0018,Shortlist,2025-06-01,8,
E0018,Offer,2025-06-20,0,manual review
E0018,Accepted,2025-06-28,5,
E0019,Kickoff,2024-08-26,10,
E0019,Longlist,2024-09-13,6,
E0019,Shortlist,2024-10-15,7,
E0019,Offer,2024-10-24,8,
E0019,Accepted,2024-11-05,1,
E0020,Kickoff,2024-02-29,11,
E0020,Longlist,2024-04-12,13,
E0020,Shortlist,2024-04-30,5,
E0020,Offer,2024-05-13,1,
E0020,Accepted,2024-06-06,5,
E0021,Kickoff,2024-04-03,9,
E0021,Longlist,2024-04-29,9,
E0021,Shortlist,2024-05-25,10,
E0021,Offer,2024-06-20,3,
E0022,Kickoff,2025-11-17,12,
E0022,Longlist,2025-12-06,10,
E0023,Kickoff,2025-08-20,12,
E0023,Longlist,2025-10-03,10,manual review
E0023,Shortlist,2025-10-19,8,
E0023,Offer,2025-11-15,8,
E0023,Accepted,2025-11-23,3,
E0024,Kickoff,2025-11-17,10,
E0024,Longlist,2025-12-03,7,
E0025,Kickoff,2025-01-27,11,
E0025,Longlist,2025-03-05,10,
E0025,Shortlist,2025-03-21,6,
E0025,Offer,2025-04-12,6,
E0025,Accepted,2025-04-19,1,
E0026,Kickoff,2025-02-04,7,
E0026,Longlist,2025-03-12,10,
E0026,Shortlist,2025-04-05,8,
E0027,Kickoff,2025-07-27,13,
E0027,Longlist,2025-08-26,8,
E0027,Shortlist,2025-09-21,6,
E0027,Offer,2025-10-11,3,
E0028,Kickoff,2025-04-04,13,
E0028,Longlist,2025-05-12,11,
E0028,Shortlist,2025-06-13,9,
E0028,Offer,2025-06-30,12,
E0028,Accepted,2025-07-22,3,
E0029,Kickoff,2024-11-16,15,
E0029,Longlist,2024-12-08,7,
E0029,Shortlist,2025-01-05,4,
E0029,Offer,2025-01-27,5,
E0029,Accepted,2025-01-31,5,
E0030,Kickoff,2024-08-03,11,
E0030,Longlist,2024-08-26,5,
E0030,Shortlist,2024-09-28,5,
E0030,Offer,2024-10-09,7,
E0030,Accepted,2024-10-23,4,
E0031,Kickoff,2024-12-22,11,
E0031,Longlist,2025-01-12,6,
E0031,Shortlist,2025-02-06,5,
E0031,Offer,2025-02-21,6,
E0031,Accepted,2025-03-11,1,
E0032,Kickoff,2024-02-17,10,
E0032,Longlist,2024-03-24,15,
E0032,Shortlist,2024-04-21,10,
E0033,Kickoff,2024-05-20,12,
E0033,Longlist,2024-06-04,8,
E0033,Shortlist,2024-06-14,10,
E0033,Offer,2024-07-10,9,
E0033,Accepted,2024-08-02,2,
E0034,Kickoff,2025-06-24,13,
E0034,Longlist,2025-07-11,9,
E0035,Kickoff,2025-09-26,12,
E0035,Longlist,2025-11-04,6,
E0035,Shortlist,2025-11-14,5,manual review
E0035,Offer,2025-12-06,8,
E0035,Accepted,2025-12-13,1,
E0036,Kickoff,2024-03-24,12,
E0036,Longlist,2024-04-26,13,
E0036,Shortlist,2024-05-19,5,
E0036,Offer,2024-05-29,7,manual review
E0036,Accepted,2024-06-02,5,
E0037,Kickoff,2024-03-15,11,manual review
E0038,Kickoff,2024-03-09,11,
E0038,Longlist,2024-04-21,10,
E0038,Shortlist,2024-05-20,5,manual review
E0038,Offer,2024-05-31,7,
E0038,Accepted,,3,
E0039,Kickoff,2025-08-06,12,
E0039,Longlist,2025-09-13,9,
E0039,Shortlist,2025-10-15,11,
E0039,Offer,2025-11-08,9,
E0039,Accepted,2025-11-11,7,
E0040,Kickoff,2024-08-17,12,
E0040,Longlist,2024-09-01,9,
E0040,Shortlist,2024-09-24,10,
E0040,Offer,2024-10-06,4,
E0040,Accepted,2024-10-27,5,
E0041,Kickoff,2024-08-27,15,
E0041,Longlist,2024-09-30,7,
E0041,Shortlist,2024-10-23,5,
E0041,Offer,2024-10-31,8,
E0041,Accepted,2024-11-11,0,
E0042,Kickoff,2024-01-10,14,
E0042,Longlist,2024-02-02,12,
E0042,Shortlist,2024-03-04,9,
E0042,Offer,2024-03-30,5,
E0042,Accepted,2024-04-22,5,
E0043,Kickoff,2025-12-13,13,
E0043,Longlist,2026-01-19,8,
E0043,Shortlist,2026-01-29,10,
E0044,Kickoff,2024-11-17,11,manual review
E0044,Longlist,2024-12-25,11,
E0044,Shortlist,2025-01-20,7,
E0044,Offer,2025-01-29,6,
E0044,Accepted,2025-02-09,1,
E0045,Kickoff,2025-08-07,12,
E0045,Longlist,2025-09-18,12,
E0045,Shortlist,2025-10-04,6,
E0045,Offer,2025-10-18,5,
E0045,Accepted,2025-11-02,4,
E0046,Kickoff,2025-06-01,11,
E0046,Longlist,2025-06-26,8,
E0046,Shortlist,2025-07-27,7,
E0046,Offer,2025-08-20,5,
E0046,Accepted,2025-08-28,1,
E0047,Kickoff,2024-04-17,7,
E0047,Longlist,2024-05-30,11,
E0047,Shortlist,2024-06-14,8,manual review
E0047,Offer,2024-07-02,3,
E0047,Accepted,2024-07-03,1,
E0048,Kickoff,2025-08-09,14,
E0048,Longlist,2025-08-29,8,
E0048,Shortlist,2025-09-22,6,manual review
E0048,Offer,2025-10-09,3,
E0049,Kickoff,2025-02-10,9,
E0049,Longlist,2025-03-05,8,
E0049,Shortlist,2025-04-01,10,
E0049,Offer,2025-04-20,7,
E0049,Accepted,2025-04-21,1,
E0050,Kickoff,2025-03-19,11,
E0050,Longlist,2025-04-12,11,
E0051,Kickoff,2024-05-26,10,
E0051,Longlist,2024-06-11,4,
E0051,Shortlist,2024-07-07,5,
E0051,Offer,2024-07-20,3,manual review
E0051,Accepted,2024-07-25,0,
E0052,Kickoff,2025-09-14,12,
E0052,Longlist,2025-10-02,12,
E0052,Shortlist,2025-10-31,6,
E0052,Offer,2025-11-20,4,
E0052,Accepted,2025-12-09,6,
E0053,Kickoff,2025-11-12,10,
E0053,Longlist,2025-12-07,9,
E0054,Kickoff,2024-10-30,11,
E0054,Longlist,2024-11-26,11,
E0054,Shortlist,2024-12-19,7,
E0054,Offer,2024-12-26,2,
E0054,Accepted,2025-01-02,0,
E0055,Kickoff,2024-03-13,13,
E0055,Longlist,2024-04-15,9,
E0056,Kickoff,2025-09-20,9,
E0056,Longlist,2025-10-30,9,manual review
E0056,Shortlist,2025-11-30,6,
E0056,Offer,2025-12-18,5,
E0057,Kickoff,2025-10-10,15,
E0057,Longlist,2025-10-27,10,
E0057,Shortlist,2025-11-08,5,
E0058,Kickoff,2025-01-12,11,
E0058,Longlist,2025-01-28,11,
E0058,Shortlist,2025-02-09,4,manual review
E0058,Offer,2025-03-05,7,
E0058,Accepted,2025-03-06,4,
E0059,Kickoff,2025-03-07,13,
E0059,Longlist,2025-04-11,7,
E0059,Shortlist,2025-05-07,7,manual review
E0059,Offer,2025-05-16,7,
E0059,Accepted,2025-05-26,1,
E0060,Kickoff,2024-06-12,13,
E0060,Longlist,2024-07-20,9,
E0060,Shortlist,2024-08-15,8,
E0061,Kickoff,2024-02-28,13,
E0061,Longlist,2024-03-28,9,
E0061,Shortlist,2024-04-30,7,
E0061,Offer,2024-05-26,5,
E0061,Accepted,2024-06-10,5,
E0062,Kickoff,2025-11-29,11,
E0062,Longlist,2026-01-11,9,
E0062,Shortlist,2026-01-31,8,
E0062,Offer,2026-02-27,5,
E0063,Kickoff,2024-12-22,12,
E0063,Longlist,2025-01-13,11,
E0063,Shortlist,2025-01-23,9,
E0063,Offer,2025-01-31,1,
E0063,Accepted,2025-02-17,0,
E0064,Kickoff,2024-07-19,12,
E0064,Longlist,2024-08-07,10,
E0064,Shortlist,2024-09-07,6,
E0064,Offer,2024-10-01,6,
E0064,Accepted,2024-10-07,5,
E0065,Kickoff,2025-05-22,12,
E0065,Longlist,2025-07-01,6,
E0065,Shortlist,2025-07-23,8,
E0065,Offer,2025-08-04,5,
E0065,Accepted,2025-08-06,2,
E0066,Kickoff,2024-01-27,12,
E0066,Longlist,2024-03-01,10,
E0066,Shortlist,2024-03-23,7,
E0066,Offer,2024-04-11,4,
E0066,Accepted,2024-05-03,4,
E0067,Kickoff,2024-03-02,11,
E0067,Longlist,2024-03-18,6,
E0067,Shortlist,2024-04-05,8,
E0067,Offer,2024-04-27,4,
E0067,Accepted,2024-05-17,2,
E0068,Kickoff,2024-07-01,15,
E0068,Longlist,2024-07-25,11,
E0068,Shortlist,2024-08-25,11,
E0068,Offer,2024-09-11,4,
E0068,Accepted,2024-09-29,4,
E0069,Kickoff,2024-11-27,7,
E0069,Longlist,2024-12-31,12,
E0069,Shortlist,2025-01-25,7,
E0069,Offer,2025-02-12,5,
E0069,Accepted,2025-02-17,4,
E0070,Kickoff,2024-09-24,5,
E0070,Longlist,2024-10-30,15,
E0070,Shortlist,2024-12-02,7,
E0070,Offer,2024-12-27,4,
E0070,Accepted,2025-01-01,4,
E0071,Kickoff,2024-05-20,12,
E0071,Longlist,2024-06-20,6,
E0071,Shortlist,2024-07-23,10,
E0071,Offer,2024-08-04,0,
E0071,Accepted,2024-08-15,6,
E0072,Kickoff,2024-09-19,13,
E0072,Longlist,2024-10-20,12,
E0073,Kickoff,2024-09-01,13,
E0073,Longlist,,11,
E0073,Shortlist,2024-10-13,4,manual review
E0073,Offer,2024-11-09,5,
E0073,Accepted,2024-11-16,3,
E0074,Kickoff,2025-01-19,10,manual review
E0074,Longlist,2025-03-03,10,
E0074,Shortlist,2025-04-03,12,
E0074,Offer,2025-04-22,4,
E0074,Accepted,2025-04-30,2,
E0075,Kickoff,2025-02-19,12,
E0076,Kickoff,2025-10-14,17,
E0076,Longlist,2025-11-15,10,
E0076,Shortlist,2025-12-02,10,
E0076,Offer,2025-12-25,4,
E0077,Kickoff,2025-08-20,11,
E0077,Longlist,2025-09-11,10,
E0077,Shortlist,2025-09-28,5,
E0077,Offer,2025-10-16,7,
E0077,Accepted,2025-10-27,2,
E0078,Kickoff,2024-08-07,11,
E0079,Kickoff,2025-10-20,8,
E0079,Longlist,2025-11-11,12,
E0079,Shortlist,2025-12-05,6,manual review
E0080,Kickoff,2025-01-19,16,
E0080,Longlist,2025-02-10,11,
E0080,Shortlist,2025-02-24,9,manual review
E0080,Offer,2025-03-04,5,
E0080,Accepted,2025-03-17,4,manual review
E0081,Kickoff,2024-05-23,12,
E0081,Longlist,2024-06-19,5,
E0081,Shortlist,2024-07-15,9,
E0081,Offer,2024-07-28,4,
E0081,Accepted,2024-08-04,0,
E0082,Kickoff,2024-09-07,7,
E0082,Longlist,2024-10-03,8,
E0082,Shortlist,2024-10-22,4,
E0082,Offer,2024-10-29,4,
E0082,Accepted,2024-11-16,4,
E0083,Kickoff,2025-06-30,15,manual review
E0083,Longlist,2025-08-02,9,
E0083,Shortlist,2025-08-20,9,
E0083,Offer,2025-09-09,2,
E0083,Accepted,2025-09-25,2,
E0084,Kickoff,2025-08-22,14,
E0084,Longlist,2025-09-17,7,
E0084,Shortlist,2025-10-16,6,
E0084,Offer,2025-11-04,4,
E0084,Accepted,2025-11-27,2,
E0085,Kickoff,2024-10-08,12,
E0085,Longlist,2024-11-03,10,
E0085,Shortlist,2024-12-02,4,manual review
E0085,Offer,2024-12-11,4,
E0085,Accepted,2025-01-01,6,
E0086,Kickoff,2024-04-29,11,
E0086,Longlist,2024-06-12,13,
E0086,Shortlist,2024-07-04,11,
E0086,Offer,2024-07-29,4,
E0086,Accepted,2024-08-16,6,
E0087,Kickoff,2024-05-21,11,
E0087,Longlist,2024-06-13,13,
E0088,Kickoff,2024-03-24,11,
E0088,Longlist,2024-04-20,8,
E0088,Shortlist,2024-05-11,7,
E0088,Offer,2024-06-03,4,
E0088,Accepted,2024-06-03,1,
E0089,Kickoff,2025-05-25,13,
E0089,Longlist,2025-07-04,10,
E0089,Shortlist,2025-08-02,7,
E0089,Offer,,6,
E0089,Accepted,2025-08-19,2,
E0090,Kickoff,2025-01-02,9,
E0090,Longlist,2025-02-14,9,
E0090,Shortlist,2025-03-17,8,manual review
E0090,Offer,2025-03-30,6,
E0090,Accepted,2025-04-11,2,
E0091,Kickoff,2024-12-01,13,manual review
E0091,Longlist,2024-12-26,11,
E0091,Shortlist,2025-01-27,4,
E0091,Offer,2025-02-04,0,
E0091,Accepted,2025-02-06,0,
E0092,Kickoff,2025-05-13,19,
E0092,Longlist,2025-06-17,11,
E0092,Shortlist,2025-06-28,6,
E0092,Offer,2025-07-06,4,
E0092,Accepted,2025-07-08,1,
E0093,Kickoff,2025-09-01,8,
E0093,Longlist,2025-10-11,9,
E0093,Shortlist,2025-10-27,10,
E0093,Offer,2025-11-20,5,
E0093,Accepted,2025-12-08,6,
E0094,Kickoff,2025-08-07,11,
E0094,Longlist,2025-08-24,9,manual review
E0094,Shortlist,2025-09-22,6,
E0094,Offer,2025-10-08,2,manual review
E0094,Accepted,2025-10-17,6,
E0095,Kickoff,2024-04-19,13,
E0096,Kickoff,2025-03-09,7,
E0096,Longlist,2025-04-14,10,
E0096,Shortlist,2025-05-01,5,
E0096,Offer,2025-05-13,5,
E0096,Accepted,2025-05-19,3,
E0097,Kickoff,2025-10-09,13,
E0097,Longlist,2025-11-13,10,
E0097,Shortlist,2025-12-09,4,
E0097,Offer,2025-12-24,6,
E0098,Kickoff,2025-07-21,12,
E0098,Longlist,2025-08-21,7,
E0098,Shortlist,2025-09-11,4,
E0098,Offer,2025-09-28,5,
E0098,Accepted,2025-09-29,0,
E0099,Kickoff,2024-09-06,13,
E0099,Longlist,2024-10-01,8,
E0099,Shortlist,2024-10-11,2,
E0099,Offer,2024-11-01,8,
E0099,Accepted,2024-11-17,4,manual review
E0100,Kickoff,2024-10-22,13,
E0100,Longlist,2024-12-05,11,
E0100,Shortlist,2024-12-28,7,
E0100,Offer,2025-01-12,2,
E0100,Accepted,2025-02-01,3,
E0101,Kickoff,2025-10-16,10,
E0101,Longlist,2025-11-14,7,
E0101,Shortlist,2025-12-13,7,
E0102,Kickoff,2024-01-27,9,
E0102,Longlist,2024-02-27,12,manual review
E0102,Shortlist,2024-03-20,5,manual review
E0102,Offer,2024-03-30,6,
E0102,Accepted,2024-04-06,3,
E0103,Kickoff,2025-01-19,9,
E0103,Longlist,2025-02-13,6,
E0103,Shortlist,2025-03-12,8,
E0103,Offer,2025-03-26,0,
E0103,Accepted,2025-03-30,1,
E0104,Kickoff,2024-03-29,12,
E0104,Longlist,2024-04-26,7,manual review
E0104,Shortlist,2024-05-17,9,
E0104,Offer,2024-06-12,9,
E0104,Accepted,2024-07-05,3,
E0105,Kickoff,2025-10-19,13,
E0105,Longlist,2025-11-15,11,
E0105,Shortlist,2025-11-25,9,
E0105,Offer,2025-12-05,4,
E0105,Accepted,2025-12-24,1,
E0106,Kickoff,2024-01-31,17,
E0106,Longlist,2024-03-13,8,
E0106,Shortlist,2024-04-06,7,manual review
E0106,Offer,2024-05-02,3,
E0106,Accepted,2024-05-26,6,manual review
E0107,Kickoff,2024-01-24,11,
E0107,Longlist,2024-02-12,12,
E0107,Shortlist,2024-03-13,7,manual review
E0107,Offer,2024-03-29,2,
E0107,Accepted,2024-03-29,4,
E0108,Kickoff,2024-09-01,12,
E0108,Longlist,2024-09-17,6,
E0108,Shortlist,2024-10-06,7,
E0108,Offer,2024-10-29,0,
E0108,Accepted,2024-11-15,6,
E0109,Kickoff,2024-05-28,11,
E0109,Longlist,2024-07-07,8,
E0109,Shortlist,2024-08-08,6,
E0109,Offer,2024-09-03,8,
E0109,Accepted,2024-09-27,2,
E0110,Kickoff,2024-12-30,15,
E0110,Longlist,2025-02-04,6,
E0110,Shortlist,2025-03-07,5,
E0110,Offer,2025-03-15,6,
E0110,Accepted,2025-03-16,3,
E0111,Kickoff,2024-08-12,13,
E0111,Longlist,2024-09-06,9,
E0111,Shortlist,2024-10-03,10,
E0111,Offer,2024-10-28,4,
E0111,Accepted,2024-11-09,6,
E0112,Kickoff,2024-09-17,12,
E0112,Longlist,2024-10-09,7,
E0112,Shortlist,2024-10-30,9,
E0112,Offer,2024-11-15,4,
E0112,Accepted,2024-11-17,0,
E0113,Kickoff,2025-02-25,11,
E0113,Longlist,2025-03-14,11,
E0113,Shortlist,2025-04-15,7,
E0113,Offer,2025-04-29,5,
E0113,Accepted,2025-05-10,4,
E0114,Kickoff,2025-02-16,15,
E0114,Longlist,2025-03-12,10,
E0114,Shortlist,2025-04-01,7,
E0114,Offer,2025-04-27,8,
E0114,Accepted,2025-04-29,5,
E0115,Kickoff,2025-11-18,14,
E0115,Longlist,2025-12-06,10,
E0116,Kickoff,2024-12-16,13,
E0116,Longlist,2025-01-10,13,
E0117,Kickoff,2025-02-17,12,
E0117,Longlist,2025-03-16,9,
E0117,Shortlist,2025-04-13,6,
E0117,Offer,2025-05-02,5,
E0117,Accepted,2025-05-06,2,
E0118,Kickoff,2025-05-09,9,
E0118,Longlist,2025-06-15,8,
E0119,Kickoff,2024-05-08,15,
E0119,Longlist,2024-05-23,7,
E0120,Kickoff,2025-05-02,13,
E0120,Longlist,2025-05-23,8,
E0120,Shortlist,2025-06-12,9,
E0120,Offer,2025-06-19,5,
E0120,Accepted,2025-06-28,1,
E0121,Kickoff,2025-09-28,12,
E0121,Longlist,2025-11-02,10,
E0122,Kickoff,2024-08-20,12,
E0122,Longlist,2024-10-01,10,
E0122,Shortlist,2024-10-14,7,
E0122,Offer,2024-11-09,7,
E0122,Accepted,2024-11-19,5,
E0123,Kickoff,2024-05-16,9,
E0123,Longlist,2024-06-27,6,
E0123,Shortlist,2024-07-22,5,
E0123,Offer,2024-08-15,3,
E0123,Accepted,2024-09-04,6,
E0124,Kickoff,2024-09-17,7,
E0124,Longlist,2024-10-09,10,
E0124,Shortlist,2024-11-04,6,
E0124,Offer,2024-12-01,3,
E0124,Accepted,2024-12-19,0,
E0125,Kickoff,2024-07-22,8,
E0125,Longlist,2024-08-13,12,
E0125,Shortlist,2024-09-13,8,
E0125,Offer,2024-10-05,5,
E0125,Accepted,2024-10-20,7,
E0126,Kickoff,2025-03-12,9,
E0126,Longlist,2025-04-16,6,
E0126,Shortlist,2025-05-14,7,
E0126,Offer,2025-05-23,6,
E0126,Accepted,2025-06-03,2,
E0127,Kickoff,2025-09-25,12,
E0127,Longlist,2025-11-04,5,
E0127,Shortlist,2025-11-28,3,
E0127,Offer,2025-12-08,2,
E0128,Kickoff,2025-03-16,13,manual review
E0128,Longlist,2025-04-26,7,
E0128,Shortlist,2025-05-28,8,
E0128,Offer,2025-06-20,6,
E0128,Accepted,2025-06-24,4,
E0129,Kickoff,2024-04-01,15,
E0129,Longlist,2024-05-05,11,
E0129,Shortlist,2024-06-02,10,
E0129,Offer,2024-06-28,7,
E0129,Accepted,2024-07-14,3,manual review
E0130,Kickoff,2024-08-17,15,
E0130,Longlist,2024-09-16,7,
E0130,Shortlist,2024-10-01,8,
E0130,Offer,2024-10-09,4,
E0130,Accepted,2024-10-16,1,
E0131,Kickoff,2025-05-20,11,
E0131,Longlist,2025-06-09,7,
E0131,Shortlist,2025-06-25,5,
E0131,Offer,2025-07-05,9,
E0132,Kickoff,2024-09-03,12,
E0132,Longlist,2024-09-20,6,
E0132,Shortlist,2024-10-20,7,
E0132,Offer,2024-11-15,4,
E0132,Accepted,2024-11-16,0,
E0133,Kickoff,2025-03-09,12,
E0133,Longlist,2025-04-06,9,
E0133,Shortlist,2025-05-09,6,
E0134,Kickoff,2025-05-23,13,
E0134,Longlist,2025-06-25,7,
E0134,Shortlist,2025-07-13,4,
E0134,Offer,2025-07-29,8,
E0134,Accepted,2025-08-03,7,
E0135,Kickoff,2024-09-03,6,
E0135,Longlist,2024-10-04,9,
E0135,Shortlist,2024-10-14,9,
E0135,Offer,2024-10-21,8,
E0135,Accepted,2024-11-14,1,
E0136,Kickoff,2025-04-22,12,
E0136,Longlist,2025-05-07,12,
E0136,Shortlist,2025-06-07,10,
E0136,Offer,2025-06-16,5,
E0136,Accepted,2025-07-10,3,
E0137,Kickoff,2024-10-19,11,
E0137,Longlist,2024-11-07,13,
E0137,Shortlist,2024-11-19,8,
E0137,Offer,2024-11-29,6,manual review
E0137,Accepted,2024-12-23,1,manual review
E0138,Kickoff,2024-04-10,14,
E0138,Longlist,2024-05-22,9,manual review
E0138,Shortlist,2024-06-25,7,
E0138,Offer,2024-07-15,6,
E0138,Accepted,2024-07-28,8,
E0139,Kickoff,2024-10-03,12,
E0139,Longlist,2024-10-27,5,
E0139,Shortlist,2024-11-25,7,
E0139,Offer,2024-12-03,4,manual review
E0139,Accepted,2024-12-12,2,
E0140,Kickoff,2024-11-24,10,
E0140,Longlist,2024-12-28,9,
E0140,Shortlist,2025-01-21,5,
E0140,Offer,2025-02-17,4,
E0140,Accepted,2025-03-04,3,
E0141,Kickoff,2024-01-08,13,
E0141,Longlist,2024-02-16,14,
E0141,Shortlist,2024-03-18,10,
E0141,Offer,2024-04-13,7,
E0141,Accepted,2024-04-19,5,
E0142,Kickoff,2025-10-13,10,
E0142,Longlist,2025-11-01,10,
E0142,Shortlist,2025-11-19,3,
E0142,Offer,2025-12-05,2,
E0143,Kickoff,2025-01-20,13,
E0143,Longlist,2025-03-04,11,
E0143,Shortlist,2025-04-03,10,
E0143,Offer,2025-04-28,6,
E0143,Accepted,2025-05-06,0,
E0144,Kickoff,2024-02-01,15,
E0144,Longlist,2024-03-04,12,
E0144,Shortlist,2024-03-27,5,
E0144,Offer,2024-04-22,4,
E0144,Accepted,2024-04-27,4,
E0145,Kickoff,2025-10-01,11,
E0145,Longlist,2025-11-10,3,
E0145,Shortlist,2025-12-12,7,
E0146,Kickoff,2025-09-24,12,
E0146,Longlist,2025-10-20,9,manual review
E0146,Shortlist,2025-10-30,7,
E0146,Offer,2025-11-13,1,
E0146,Accepted,2025-11-22,2,
E0147,Kickoff,2024-01-13,11,
E0147,Longlist,2024-02-03,8,
E0148,Kickoff,2024-05-08,10,manual review
E0148,Longlist,2024-05-31,11,
E0148,Shortlist,2024-06-24,4,
E0148,Offer,2024-07-03,1,
E0148,Accepted,2024-07-12,3,
E0149,Kickoff,2024-09-22,12,
E0149,Longlist,2024-10-30,9,
E0149,Shortlist,2024-11-23,11,manual review
E0149,Offer,2024-12-19,8,
E0149,Accepted,2024-12-31,2,
E0150,Kickoff,2025-01-09,14,
